start,end,art,ort,platz,beschreibung
15:00,16:00,Fußball Doz/Verw,Hallenhälfte 2 (rechts),10,0
15:30,17:00,Mixed Martial Arts,Hallenhälfte 2 (rechts),9,0
16:30,18:00,Volleyball/Basic,Hallenhälfte 1 (links),8,0
17:00,18:30,jumping fitness 1,Hallenhälfte 2 (rechts),voll,0
18:00,19:00,C-FiT,Hallenhälfte 1 (links),10,0
18:30,20:00,jumping fitness 2,Hallenhälfte 2 (rechts),1,0
19:00,20:00,Volleyball/Basic,Hallenhälfte 1 (links),9,0
20:00,21:00,Hatha-Yoga,Halle komplett,Ausfall,0
20:00,21:00,Zur freien Verfügung,Halle komplett,frei,0
21:00,22:00,Badminton 1,Hallenhälfte 1 (links),9,0
21:00,22:00,Badminton 1,Hallenhälfte 2 (rechts),12,0
16:00,17:00,Badminton 1,Hallenhälfte 1 (links),12,0
16:00,17:00,Badminton Doz/Verw,Hallenhälfte 2 (rechts),9,0
16:30,17:30,Nordic Walking,Hof und Umgebung,10,0
17:00,18:00,Fußball - Herren,Halle komplett,12,0
18:00,19:00,Bauch - Beine - Po,Halle komplett,44,0
19:00,21:00,Selbstvert./Waffenkampf,Hallenhälfte 1 (links),14,0
19:00,20:00,Handball - Männer/Frauen,Hallenhälfte 2 (rechts),10,0
20:00,21:00,Tischtennis,Hallenhälfte 2 (rechts),15,0
21:00,22:00,Basketball/Freizeit,Halle komplett,15,0
16:00,17:30,Volleyball/Freizeit,Hallenhälfte 1 (links),10,0
16:00,16:30,Zur freien Verfügung,Hallenhälfte 2 (rechts), frei,0
16:30,17:30,STEP Aerobic,Hallenhälfte 2 (rechts),22,0
17:30,18:30,Rückenfit,Halle komplett,45,0
18:30,19:30,Y-OGA,Halle komplett,19,0
19:30,20:30,Fußball Mixed,Halle komplett,11,0
20:30,22:00,Basketball/Freizeit,Halle komplett,15,0
